p; n; j; ind of insep; polygon; residual poly; defining poly; automorphism; galois group; 
p=3; n=3; d=1*p^3+...; I=[ 1, 0 ]; R=[ <1, 1>, <3, 0> ]; A=<t + 1>; f=x^3 + 6*x + 3; Aut=1T1; Gal=3T2
p=3; n=3; d=2*p^3+...; I=[ 1, 0 ]; R=[ <1, 1>, <3, 0> ]; A=<t + 2>; f=x^3 + 3*x + 3; Aut=1T1; Gal=3T2
p=3; n=3; d=2*p^4+...; I=[ 2, 0 ]; R=[ <1, 2>, <3, 0> ]; A=<t^2 + 1>; f=x^3 + 3*x^2 + 3; Aut=1T1; Gal=3T2
p=3; n=3; d=1*p^4+...; I=[ 2, 0 ]; R=[ <1, 2>, <3, 0> ]; A=<t^2 + 2>; f=x^3 + 6*x^2 + 3; Aut=3T1; Gal=3T1
p=3; n=3; d=1*p^4+...; I=[ 2, 0 ]; R=[ <1, 2>, <3, 0> ]; A=<t^2 + 2>; f=x^3 + 6*x^2 + 12; Aut=3T1; Gal=3T1
p=3; n=3; d=1*p^4+...; I=[ 2, 0 ]; R=[ <1, 2>, <3, 0> ]; A=<t^2 + 2>; f=x^3 + 6*x^2 + 21; Aut=3T1; Gal=3T1
p=3; n=3; d=2*p^5+...; I=[ 3, 0 ]; R=[ <1, 3>, <3, 0> ]; A=<t + 2>; f=x^3 + 3; Aut=1T1; Gal=3T2
p=3; n=3; d=2*p^5+...; I=[ 3, 0 ]; R=[ <1, 3>, <3, 0> ]; A=<t + 2>; f=x^3 + 9*x + 3; Aut=1T1; Gal=3T2
p=3; n=3; d=2*p^5+...; I=[ 3, 0 ]; R=[ <1, 3>, <3, 0> ]; A=<t + 2>; f=x^3 + 18*x + 3; Aut=1T1; Gal=3T2
 
