p; n; j; ind of insep; polygon; residual poly; defining poly; automorphism; galois group; 
p=2; n=16; d=1*p^18+...; I=[ 3, 3, 3, 3, 0 ]; R=[ <1, 3>, <16, 0> ]; A=<t^3 + 1>; f=x^16 + 2*x^3 + 2; Aut=1T1; Gal=16T711
p=2; n=16; d=1*p^18+...; I=[ 3, 2, 2, 2, 0 ]; R=[ <1, 3>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^3 + 2*x^2 + 2; Aut=2T1; Gal=16T1841
p=2; n=16; d=1*p^18+...; I=[ 3, 2, 2, 2, 0 ]; R=[ <1, 3>, <2, 2>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^4 + 2*x^3 + 2*x^2 + 2; Aut=2T1; Gal=16T1841
 
