K = Z3(a) = Z3[x] / x^2 + 2*x + 2
p=3; n=9; d=1*p^12+...; I=[ 4, 4, 0 ]; R=[ <1, 4>, <9, 0> ]; A=<t^4 + 1>; f=x^9 + 6*x^4 + 3; Aut=2T1; Gal=9T5
p=3; n=9; d=w*p^12+...; I=[ 4, 4, 0 ]; R=[ <1, 4>, <9, 0> ]; A=<t^4 + w>; f=x^9 + 6*a*x^4 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^2*p^12+...; I=[ 4, 4, 0 ]; R=[ <1, 4>, <9, 0> ]; A=<t^4 + w^2>; f=x^9 + (6*a + 6)*x^4 + 3; Aut=1T1; Gal=9T9
p=3; n=9; d=w^3*p^12+...; I=[ 4, 4, 0 ]; R=[ <1, 4>, <9, 0> ]; A=<t^4 + w^3>; f=x^9 + (3*a + 6)*x^4 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=2*p^12+...; I=[ 4, 4, 0 ]; R=[ <1, 4>, <9, 0> ]; A=<t^4 + 2>; f=x^9 + 3*x^4 + 3; Aut=2T1; Gal=9T5
p=3; n=9; d=w^5*p^12+...; I=[ 4, 4, 0 ]; R=[ <1, 4>, <9, 0> ]; A=<t^4 + w^5>; f=x^9 + 3*a*x^4 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^6*p^12+...; I=[ 4, 4, 0 ]; R=[ <1, 4>, <9, 0> ]; A=<t^4 + w^6>; f=x^9 + (3*a + 3)*x^4 + 3; Aut=1T1; Gal=9T9
p=3; n=9; d=w^7*p^12+...; I=[ 4, 4, 0 ]; R=[ <1, 4>, <9, 0> ]; A=<t^4 + w^7>; f=x^9 + (6*a + 3)*x^4 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=1*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + t + 1>; f=x^9 + 6*x^4 + 6*x^3 + 3; Aut=2T1; Gal=9T11
p=3; n=9; d=1*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + w*t + 1>; f=x^9 + 6*x^4 + 6*a*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=1*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + w^2*t + 1>; f=x^9 + 6*x^4 + (6*a + 6)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=1*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + w^3*t + 1>; f=x^9 + 6*x^4 + (3*a + 6)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=1*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + 2*t + 1>; f=x^9 + 6*x^4 + 3*x^3 + 3; Aut=2T1; Gal=9T11
p=3; n=9; d=1*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + w^5*t + 1>; f=x^9 + 6*x^4 + 3*a*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=1*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + w^6*t + 1>; f=x^9 + 6*x^4 + (3*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=1*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + w^7*t + 1>; f=x^9 + 6*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + t + w>; f=x^9 + 6*a*x^4 + 6*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + w*t + w>; f=x^9 + 6*a*x^4 + 6*a*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + w^2*t + w>; f=x^9 + 6*a*x^4 + (6*a + 6)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + w^3*t + w>; f=x^9 + 6*a*x^4 + (3*a + 6)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + 2*t + w>; f=x^9 + 6*a*x^4 + 3*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + w^5*t + w>; f=x^9 + 6*a*x^4 + 3*a*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + w^6*t + w>; f=x^9 + 6*a*x^4 + (3*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + w^7*t + w>; f=x^9 + 6*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^2*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + t + w^2>; f=x^9 + (6*a + 6)*x^4 + 6*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^2*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + w*t + w^2>; f=x^9 + (6*a + 6)*x^4 + 6*a*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^2*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + w^2*t + w^2>; f=x^9 + (6*a + 6)*x^4 + (6*a + 6)*x^3 + 3; Aut=1T1; Gal=0T0
