p; n; j; ind of insep; polygon; residual poly; defining poly; automorphism; galois group; 
p=2; n=16; d=1*p^34+...; I=[ 19, 19, 19, 16, 0 ]; R=[ <1, 19>, <16, 0> ]; A=<t + 1>; f=x^16 + 4*x^3 + 2; Aut=1T1; Gal=16T1079
p=2; n=16; d=1*p^34+...; I=[ 19, 10, 10, 10, 0 ]; R=[ <1, 19>, <2, 10>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^10 + 4*x^9 + 4*x^7 + 4*x^5 + 4*x^3 + 2; Aut=2T1; Gal=0T0
p=2; n=16; d=1*p^34+...; I=[ 19, 10, 10, 10, 0 ]; R=[ <1, 19>, <2, 10>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 4*x^12 + 2*x^10 + 4*x^9 + 4*x^7 + 4*x^5 + 4*x^3 + 2; Aut=2T1; Gal=16T1800
p=2; n=16; d=1*p^34+...; I=[ 19, 10, 10, 10, 0 ]; R=[ <1, 19>, <2, 10>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 4*x^11 + 2*x^10 + 4*x^9 + 4*x^7 + 4*x^5 + 4*x^3 + 2; Aut=2T1; Gal=16T1800
p=2; n=16; d=1*p^34+...; I=[ 19, 10, 10, 10, 0 ]; R=[ <1, 19>, <2, 10>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 4*x^12 + 4*x^11 + 2*x^10 + 4*x^9 + 4*x^7 + 4*x^5 + 4*x^3 + 2; Aut=2T1; Gal=0T0
p=2; n=16; d=1*p^34+...; I=[ 19, 10, 10, 8, 0 ]; R=[ <1, 19>, <2, 10>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^10 + 2*x^8 + 4*x^7 + 4*x^5 + 4*x^3 + 2; Aut=2T1; Gal=0T0
p=2; n=16; d=1*p^34+...; I=[ 19, 10, 10, 8, 0 ]; R=[ <1, 19>, <2, 10>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 4*x^12 + 2*x^10 + 2*x^8 + 4*x^7 + 4*x^5 + 4*x^3 + 2; Aut=2T1; Gal=16T1841
p=2; n=16; d=1*p^34+...; I=[ 19, 10, 10, 8, 0 ]; R=[ <1, 19>, <2, 10>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 4*x^11 + 2*x^10 + 2*x^8 + 4*x^7 + 4*x^5 + 4*x^3 + 2; Aut=2T1; Gal=16T1841
p=2; n=16; d=1*p^34+...; I=[ 19, 10, 10, 8, 0 ]; R=[ <1, 19>, <2, 10>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 4*x^12 + 4*x^11 + 2*x^10 + 2*x^8 + 4*x^7 + 4*x^5 + 4*x^3 + 2; Aut=2T1; Gal=0T0
p=2; n=16; d=1*p^34+...; I=[ 19, 10, 10, 8, 0 ]; R=[ <1, 19>, <2, 10>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^10 + 4*x^9 + 2*x^8 + 4*x^7 + 4*x^5 + 4*x^3 + 2; Aut=2T1; Gal=0T0
p=2; n=16; d=1*p^34+...; I=[ 19, 10, 10, 8, 0 ]; R=[ <1, 19>, <2, 10>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 4*x^12 + 2*x^10 + 4*x^9 + 2*x^8 + 4*x^7 + 4*x^5 + 4*x^3 + 2; Aut=2T1; Gal=16T1841
p=2; n=16; d=1*p^34+...; I=[ 19, 10, 10, 8, 0 ]; R=[ <1, 19>, <2, 10>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 4*x^11 + 2*x^10 + 4*x^9 + 2*x^8 + 4*x^7 + 4*x^5 + 4*x^3 + 2; Aut=2T1; Gal=0T0
p=2; n=16; d=1*p^34+...; I=[ 19, 10, 10, 8, 0 ]; R=[ <1, 19>, <2, 10>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 4*x^12 + 4*x^11 + 2*x^10 + 4*x^9 + 2*x^8 + 4*x^7 + 4*x^5 + 4*x^3 + 2; Aut=2T1; Gal=16T1841
p=2; n=16; d=1*p^34+...; I=[ 19, 14, 14, 14, 0 ]; R=[ <1, 19>, <2, 14>, <16, 0> ]; A=<t + 1, t^14 + 1>; f=x^16 + 2*x^14 + 4*x^3 + 2; Aut=4T2; Gal=16T722
p=2; n=16; d=1*p^34+...; I=[ 19, 14, 14, 14, 0 ]; R=[ <1, 19>, <2, 14>, <16, 0> ]; A=<t + 1, t^14 + 1>; f=x^16 + 2*x^14 + 4*x^8 + 4*x^3 + 2; Aut=4T2; Gal=0T0
p=2; n=16; d=1*p^34+...; I=[ 19, 14, 14, 14, 0 ]; R=[ <1, 19>, <2, 14>, <16, 0> ]; A=<t + 1, t^14 + 1>; f=x^16 + 2*x^14 + 4*x^7 + 4*x^3 + 2; Aut=2T1; Gal=16T721
p=2; n=16; d=1*p^34+...; I=[ 19, 14, 14, 14, 0 ]; R=[ <1, 19>, <2, 14>, <16, 0> ]; A=<t + 1, t^14 + 1>; f=x^16 + 2*x^14 + 4*x^8 + 4*x^7 + 4*x^3 + 2; Aut=2T1; Gal=0T0
p=2; n=16; d=1*p^34+...; I=[ 19, 14, 14, 14, 0 ]; R=[ <1, 19>, <2, 14>, <16, 0> ]; A=<t + 1, t^14 + 1>; f=x^16 + 2*x^14 + 4*x^5 + 4*x^3 + 2; Aut=4T1; Gal=16T60
p=2; n=16; d=1*p^34+...; I=[ 19, 14, 14, 14, 0 ]; R=[ <1, 19>, <2, 14>, <16, 0> ]; A=<t + 1, t^14 + 1>; f=x^16 + 2*x^14 + 4*x^8 + 4*x^5 + 4*x^3 + 2; Aut=4T1; Gal=16T60
p=2; n=16; d=1*p^34+...; I=[ 19, 14, 14, 14, 0 ]; R=[ <1, 19>, <2, 14>, <16, 0> ]; A=<t + 1, t^14 + 1>; f=x^16 + 2*x^14 + 4*x^7 + 4*x^5 + 4*x^3 + 2; Aut=2T1; Gal=16T180
p=2; n=16; d=1*p^34+...; I=[ 19, 14, 14, 14, 0 ]; R=[ <1, 19>, <2, 14>, <16, 0> ]; A=<t + 1, t^14 + 1>; f=x^16 + 2*x^14 + 4*x^8 + 4*x^7 + 4*x^5 + 4*x^3 + 2; Aut=2T1; Gal=16T180
p=2; n=16; d=1*p^34+...; I=[ 19, 14, 14, 14, 0 ]; R=[ <1, 19>, <2, 14>, <16, 0> ]; A=<t + 1, t^14 + 1>; f=x^16 + 2*x^14 + 4*x^3 + 6; Aut=4T2; Gal=0T0
p=2; n=16; d=1*p^34+...; I=[ 19, 14, 14, 14, 0 ]; R=[ <1, 19>, <2, 14>, <16, 0> ]; A=<t + 1, t^14 + 1>; f=x^16 + 2*x^14 + 4*x^8 + 4*x^3 + 6; Aut=4T2; Gal=16T722
p=2; n=16; d=1*p^34+...; I=[ 19, 14, 14, 14, 0 ]; R=[ <1, 19>, <2, 14>, <16, 0> ]; A=<t + 1, t^14 + 1>; f=x^16 + 2*x^14 + 4*x^7 + 4*x^3 + 6; Aut=2T1; Gal=16T721
p=2; n=16; d=1*p^34+...; I=[ 19, 14, 14, 14, 0 ]; R=[ <1, 19>, <2, 14>, <16, 0> ]; A=<t + 1, t^14 + 1>; f=x^16 + 2*x^14 + 4*x^8 + 4*x^7 + 4*x^3 + 6; Aut=2T1; Gal=0T0
p=2; n=16; d=1*p^34+...; I=[ 19, 14, 14, 14, 0 ]; R=[ <1, 19>, <2, 14>, <16, 0> ]; A=<t + 1, t^14 + 1>; f=x^16 + 2*x^14 + 4*x^5 + 4*x^3 + 6; Aut=4T1; Gal=16T60
p=2; n=16; d=1*p^34+...; I=[ 19, 14, 14, 14, 0 ]; R=[ <1, 19>, <2, 14>, <16, 0> ]; A=<t + 1, t^14 + 1>; f=x^16 + 2*x^14 + 4*x^8 + 4*x^5 + 4*x^3 + 6; Aut=4T1; Gal=16T60
p=2; n=16; d=1*p^34+...; I=[ 19, 14, 14, 14, 0 ]; R=[ <1, 19>, <2, 14>, <16, 0> ]; A=<t + 1, t^14 + 1>; f=x^16 + 2*x^14 + 4*x^7 + 4*x^5 + 4*x^3 + 6; Aut=2T1; Gal=16T180
p=2; n=16; d=1*p^34+...; I=[ 19, 14, 14, 14, 0 ]; R=[ <1, 19>, <2, 14>, <16, 0> ]; A=<t + 1, t^14 + 1>; f=x^16 + 2*x^14 + 4*x^8 + 4*x^7 + 4*x^5 + 4*x^3 + 6; Aut=2T1; Gal=16T180
p=2; n=16; d=1*p^34+...; I=[ 19, 19, 4, 4, 0 ]; R=[ <1, 19>, <4, 4>, <16, 0> ]; A=<t^3 + 1, t^4 + 1>; f=x^16 + 2*x^4 + 4*x^3 + 2; Aut=2T1; Gal=16T1683
p=2; n=16; d=1*p^34+...; I=[ 19, 19, 4, 4, 0 ]; R=[ <1, 19>, <4, 4>, <16, 0> ]; A=<t^3 + 1, t^4 + 1>; f=x^16 + 4*x^8 + 2*x^4 + 4*x^3 + 2; Aut=2T1; Gal=16T1683
p=2; n=16; d=1*p^34+...; I=[ 19, 19, 4, 4, 0 ]; R=[ <1, 19>, <4, 4>, <16, 0> ]; A=<t^3 + 1, t^4 + 1>; f=x^16 + 4*x^7 + 2*x^4 + 4*x^3 + 2; Aut=2T1; Gal=16T1683
p=2; n=16; d=1*p^34+...; I=[ 19, 19, 4, 4, 0 ]; R=[ <1, 19>, <4, 4>, <16, 0> ]; A=<t^3 + 1, t^4 + 1>; f=x^16 + 4*x^8 + 4*x^7 + 2*x^4 + 4*x^3 + 2; Aut=2T1; Gal=16T1683
p=2; n=16; d=1*p^34+...; I=[ 19, 19, 4, 4, 0 ]; R=[ <1, 19>, <4, 4>, <16, 0> ]; A=<t^3 + 1, t^4 + 1>; f=x^16 + 4*x^6 + 2*x^4 + 4*x^3 + 2; Aut=2T1; Gal=16T1683

[Interrupt twice in half a second; exiting]
