p; n; j; ind of insep; polygon; residual poly; defining poly; automorphism; galois group; 
p=2; n=16; d=1*p^34+...; I=[ 19, 19, 19, 16, 0 ]; R=[ <1, 19>, <16, 0> ]; A=<t + 1>; f=x^16 + 4*x^3 + 2; Aut=1T1; Gal=16T1079
p=2; n=16; d=1*p^34+...; I=[ 19, 19, 19, 16, 0 ]; R=[ <1, 19>, <16, 0> ]; A=<t + 1>; f=x^16 + 4*x^4 + 4*x^3 + 2; Aut=1T1; Gal=16T1079
p=2; n=16; d=1*p^34+...; I=[ 19, 18, 18, 16, 0 ]; R=[ <1, 19>, <16, 0> ]; A=<t + 1>; f=x^16 + 4*x^3 + 4*x^2 + 2; Aut=1T1; Gal=0T0
p=2; n=16; d=1*p^34+...; I=[ 19, 18, 18, 16, 0 ]; R=[ <1, 19>, <16, 0> ]; A=<t + 1>; f=x^16 + 4*x^4 + 4*x^3 + 4*x^2 + 2; Aut=1T1; Gal=16T1079
p=2; n=16; d=1*p^34+...; I=[ 19, 6, 6, 6, 0 ]; R=[ <1, 19>, <2, 6>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 2*x^6 + 4*x^3 + 2; Aut=2T1; Gal=0T0
p=2; n=16; d=1*p^34+...; I=[ 19, 6, 6, 6, 0 ]; R=[ <1, 19>, <2, 6>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 4*x^15 + 2*x^6 + 4*x^3 + 2; Aut=2T1; Gal=0T0
p=2; n=16; d=1*p^34+...; I=[ 19, 6, 6, 6, 0 ]; R=[ <1, 19>, <2, 6>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 4*x^13 + 2*x^6 + 4*x^3 + 2; Aut=2T1; Gal=16T1841
p=2; n=16; d=1*p^34+...; I=[ 19, 6, 6, 6, 0 ]; R=[ <1, 19>, <2, 6>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 4*x^15 + 4*x^13 + 2*x^6 + 4*x^3 + 2; Aut=2T1; Gal=16T1841
p=2; n=16; d=1*p^34+...; I=[ 19, 6, 6, 6, 0 ]; R=[ <1, 19>, <2, 6>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 4*x^11 + 2*x^6 + 4*x^3 + 2; Aut=2T1; Gal=0T0
p=2; n=16; d=1*p^34+...; I=[ 19, 6, 6, 6, 0 ]; R=[ <1, 19>, <2, 6>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 4*x^15 + 4*x^11 + 2*x^6 + 4*x^3 + 2; Aut=2T1; Gal=16T712
p=2; n=16; d=1*p^34+...; I=[ 19, 6, 6, 6, 0 ]; R=[ <1, 19>, <2, 6>, <16, 0> ]; A=<t + 1, t^2 + 1>; f=x^16 + 4*x^13 + 4*x^11 + 2*x^6 + 4*x^3 + 2; Aut=2T1; Gal=16T1841
