p; n; d; ind of insep; polygon; residual poly; defining poly; automorphism; galois group; 
p=2; n=16; d=1*p^24+...; I=[ 9, 9, 4, 4, 0 ]; R=[ <1, 9>, <4, 4>, <16, 0> ]; A=<t + 1, t^4 + 1>; f=x^16 + 2*x^10 + 2*x^9 + 2*x^4 + 2; Aut=1T1; Gal=16T430
p=2; n=16; d=1*p^24+...; I=[ 9, 6, 4, 4, 0 ]; R=[ <1, 9>, <2, 6>, <4, 4>, <16, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^16 + 2*x^9 + 2*x^6 + 2*x^4 + 2; Aut=2T1; Gal=16T773
p=2; n=16; d=1*p^24+...; I=[ 9, 6, 4, 4, 0 ]; R=[ <1, 9>, <2, 6>, <4, 4>, <16, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^16 + 2*x^12 + 2*x^9 + 2*x^6 + 2*x^4 + 2; Aut=2T1; Gal=16T773
p=2; n=16; d=1*p^24+...; I=[ 9, 6, 4, 4, 0 ]; R=[ <1, 9>, <2, 6>, <4, 4>, <16, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^16 + 2*x^11 + 2*x^9 + 2*x^6 + 2*x^4 + 2; Aut=4T1; Gal=16T1064
p=2; n=16; d=1*p^24+...; I=[ 9, 6, 4, 4, 0 ]; R=[ <1, 9>, <2, 6>, <4, 4>, <16, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^16 + 2*x^12 + 2*x^11 + 2*x^9 + 2*x^6 + 2*x^4 + 2; Aut=4T1; Gal=16T1064
p=2; n=16; d=1*p^24+...; I=[ 9, 6, 4, 4, 0 ]; R=[ <1, 9>, <2, 6>, <4, 4>, <16, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^16 + 2*x^9 + 2*x^8 + 2*x^6 + 2*x^4 + 2; Aut=2T1; Gal=16T773
p=2; n=16; d=1*p^24+...; I=[ 9, 6, 4, 4, 0 ]; R=[ <1, 9>, <2, 6>, <4, 4>, <16, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^16 + 2*x^12 + 2*x^9 + 2*x^8 + 2*x^6 + 2*x^4 + 2; Aut=2T1; Gal=16T773
p=2; n=16; d=1*p^24+...; I=[ 9, 6, 4, 4, 0 ]; R=[ <1, 9>, <2, 6>, <4, 4>, <16, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^16 + 2*x^11 + 2*x^9 + 2*x^8 + 2*x^6 + 2*x^4 + 2; Aut=4T1; Gal=16T1064
p=2; n=16; d=1*p^24+...; I=[ 9, 6, 4, 4, 0 ]; R=[ <1, 9>, <2, 6>, <4, 4>, <16, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^16 + 2*x^12 + 2*x^11 + 2*x^9 + 2*x^8 + 2*x^6 + 2*x^4 + 2; Aut=4T1; Gal=16T1064
 
