p; n; j; ind of insep; polygon; residual poly; defining poly; automorphism; galois group; 
p=3; n=9; d=2*p^9+...; I=[ 1, 1, 0 ]; R=[ <1, 1>, <9, 0> ]; A=<t + 1>; f=x^9 + 6*x + 3; Aut=1T1; Gal=9T19
p=3; n=9; d=1*p^9+...; I=[ 1, 1, 0 ]; R=[ <1, 1>, <9, 0> ]; A=<t + 2>; f=x^9 + 3*x + 3; Aut=1T1; Gal=9T19
p=3; n=9; d=1*p^10+...; I=[ 2, 2, 0 ]; R=[ <1, 2>, <9, 0> ]; A=<t^2 + 1>; f=x^9 + 3*x^2 + 3; Aut=1T1; Gal=9T14
p=3; n=9; d=2*p^10+...; I=[ 2, 2, 0 ]; R=[ <1, 2>, <9, 0> ]; A=<t^2 + 2>; f=x^9 + 6*x^2 + 3; Aut=1T1; Gal=9T16
p=3; n=9; d=1*p^12+...; I=[ 4, 4, 0 ]; R=[ <1, 4>, <9, 0> ]; A=<t^4 + 1>; f=x^9 + 6*x^4 + 3; Aut=1T1; Gal=9T9
p=3; n=9; d=2*p^12+...; I=[ 4, 4, 0 ]; R=[ <1, 4>, <9, 0> ]; A=<t^4 + 2>; f=x^9 + 3*x^4 + 3; Aut=1T1; Gal=9T8
p=3; n=9; d=1*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + t + 1>; f=x^9 + 6*x^4 + 6*x^3 + 3; Aut=1T1; Gal=9T11
p=3; n=9; d=1*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + 2*t + 1>; f=x^9 + 6*x^4 + 3*x^3 + 3; Aut=1T1; Gal=9T11
p=3; n=9; d=2*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + t + 2>; f=x^9 + 3*x^4 + 6*x^3 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=2*p^12+...; I=[ 4, 3, 0 ]; R=[ <1, 4>, <3, 3>, <9, 0> ]; A=<t^4 + 2*t + 2>; f=x^9 + 3*x^4 + 3*x^3 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=2*p^13+...; I=[ 5, 5, 0 ]; R=[ <1, 5>, <9, 0> ]; A=<t + 1>; f=x^9 + 3*x^5 + 3; Aut=1T1; Gal=9T19
p=3; n=9; d=1*p^13+...; I=[ 5, 5, 0 ]; R=[ <1, 5>, <9, 0> ]; A=<t + 2>; f=x^9 + 6*x^5 + 3; Aut=1T1; Gal=9T19
p=3; n=9; d=2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 3*x^5 + 6*x^3 + 3; Aut=1T1; Gal=9T18
p=3; n=9; d=2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<2*t^2 + 1, t^3 + 2>; f=x^9 + 3*x^5 + 3*x^3 + 3; Aut=3T1; Gal=9T20
p=3; n=9; d=2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<2*t^2 + 1, t^3 + 2>; f=x^9 + 3*x^6 + 3*x^5 + 3*x^3 + 3; Aut=3T1; Gal=9T20
p=3; n=9; d=2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<2*t^2 + 1, t^3 + 2>; f=x^9 + 6*x^6 + 3*x^5 + 3*x^3 + 3; Aut=3T1; Gal=9T20
p=3; n=9; d=1*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<t^2 + 2, t^3 + 1>; f=x^9 + 6*x^5 + 6*x^3 + 3; Aut=3T1; Gal=9T20
p=3; n=9; d=1*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<t^2 + 2, t^3 + 1>; f=x^9 + 3*x^6 + 6*x^5 + 6*x^3 + 3; Aut=3T1; Gal=9T20
p=3; n=9; d=1*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<t^2 + 2, t^3 + 1>; f=x^9 + 6*x^6 + 6*x^5 + 6*x^3 + 3; Aut=3T1; Gal=9T20
p=3; n=9; d=1*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<2*t^2 + 2, t^3 + 2>; f=x^9 + 6*x^5 + 3*x^3 + 3; Aut=1T1; Gal=9T18
p=3; n=9; d=2*p^15+...; I=[ 7, 7, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + 1>; f=x^9 + 6*x^7 + 3; Aut=1T1; Gal=9T19
p=3; n=9; d=2*p^15+...; I=[ 7, 6, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + 1>; f=x^9 + 6*x^7 + 3*x^6 + 3; Aut=1T1; Gal=9T19
p=3; n=9; d=2*p^15+...; I=[ 7, 6, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + 1>; f=x^9 + 6*x^7 + 6*x^6 + 3; Aut=1T1; Gal=9T19
p=3; n=9; d=1*p^15+...; I=[ 7, 7, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + 2>; f=x^9 + 3*x^7 + 3; Aut=1T1; Gal=9T19
p=3; n=9; d=1*p^15+...; I=[ 7, 6, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + 2>; f=x^9 + 3*x^7 + 3*x^6 + 3; Aut=1T1; Gal=9T19
p=3; n=9; d=1*p^15+...; I=[ 7, 6, 0 ]; R=[ <1, 7>, <9, 0> ]; A=<t + 2>; f=x^9 + 3*x^7 + 6*x^6 + 3; Aut=1T1; Gal=9T19
p=3; n=9; d=2*p^15+...; I=[ 7, 3, 0 ]; R=[ <1, 7>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 6*x^7 + 6*x^3 + 3; Aut=1T1; Gal=9T18
p=3; n=9; d=2*p^15+...; I=[ 7, 3, 0 ]; R=[ <1, 7>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 3*x^8 + 6*x^7 + 6*x^3 + 3; Aut=1T1; Gal=9T18
p=3; n=9; d=2*p^15+...; I=[ 7, 3, 0 ]; R=[ <1, 7>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 6*x^8 + 6*x^7 + 6*x^3 + 3; Aut=1T1; Gal=9T8
p=3; n=9; d=2*p^15+...; I=[ 7, 3, 0 ]; R=[ <1, 7>, <3, 3>, <9, 0> ]; A=<2*t^2 + 1, t^3 + 2>; f=x^9 + 6*x^7 + 3*x^3 + 3; Aut=3T1; Gal=9T20
p=3; n=9; d=2*p^15+...; I=[ 7, 3, 0 ]; R=[ <1, 7>, <3, 3>, <9, 0> ]; A=<2*t^2 + 1, t^3 + 2>; f=x^9 + 3*x^8 + 6*x^7 + 3*x^3 + 3; Aut=3T1; Gal=9T20
p=3; n=9; d=2*p^15+...; I=[ 7, 3, 0 ]; R=[ <1, 7>, <3, 3>, <9, 0> ]; A=<2*t^2 + 1, t^3 + 2>; f=x^9 + 6*x^8 + 6*x^7 + 3*x^3 + 3; Aut=3T1; Gal=9T4
