p; n; j; ind of insep; polygon; residual poly; defining poly; automorphism; galois group; 
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 4*x^6 + 2*x^4 + 8*x^3 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 4*x^6 + 2*x^4 + 8*x^3 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^5 + 2*x^4 + 8*x^3 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 8*x^5 + 2*x^4 + 8*x^3 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 4*x^6 + 8*x^5 + 2*x^4 + 8*x^3 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 4*x^6 + 8*x^5 + 2*x^4 + 8*x^3 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 10*x^4 + 8*x^3 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 10*x^4 + 8*x^3 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 4*x^6 + 10*x^4 + 8*x^3 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 4*x^6 + 10*x^4 + 8*x^3 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^5 + 10*x^4 + 8*x^3 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 8*x^5 + 10*x^4 + 8*x^3 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 4*x^6 + 8*x^5 + 10*x^4 + 8*x^3 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 4*x^6 + 8*x^5 + 10*x^4 + 8*x^3 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 2*x^4 + 8*x^3 + 16*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 2*x^4 + 8*x^3 + 16*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 4*x^6 + 2*x^4 + 8*x^3 + 16*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 4*x^6 + 2*x^4 + 8*x^3 + 16*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^5 + 2*x^4 + 8*x^3 + 16*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 8*x^5 + 2*x^4 + 8*x^3 + 16*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 4*x^6 + 8*x^5 + 2*x^4 + 8*x^3 + 16*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 4*x^6 + 8*x^5 + 2*x^4 + 8*x^3 + 16*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 10*x^4 + 8*x^3 + 16*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 10*x^4 + 8*x^3 + 16*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 4*x^6 + 10*x^4 + 8*x^3 + 16*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 4*x^6 + 10*x^4 + 8*x^3 + 16*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^5 + 10*x^4 + 8*x^3 + 16*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 8*x^5 + 10*x^4 + 8*x^3 + 16*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 4*x^6 + 8*x^5 + 10*x^4 + 8*x^3 + 16*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 4*x^6 + 8*x^5 + 10*x^4 + 8*x^3 + 16*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 2*x^4 + 8*x^3 + 8*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 2*x^4 + 8*x^3 + 8*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 4*x^6 + 2*x^4 + 8*x^3 + 8*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 4*x^6 + 2*x^4 + 8*x^3 + 8*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^5 + 2*x^4 + 8*x^3 + 8*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 8*x^5 + 2*x^4 + 8*x^3 + 8*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 4*x^6 + 8*x^5 + 2*x^4 + 8*x^3 + 8*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 4*x^6 + 8*x^5 + 2*x^4 + 8*x^3 + 8*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 10*x^4 + 8*x^3 + 8*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 10*x^4 + 8*x^3 + 8*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 4*x^6 + 10*x^4 + 8*x^3 + 8*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 4*x^6 + 10*x^4 + 8*x^3 + 8*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^5 + 10*x^4 + 8*x^3 + 8*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 8*x^5 + 10*x^4 + 8*x^3 + 8*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 4*x^6 + 8*x^5 + 10*x^4 + 8*x^3 + 8*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 4*x^6 + 8*x^5 + 10*x^4 + 8*x^3 + 8*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 2*x^4 + 8*x^3 + 24*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 2*x^4 + 8*x^3 + 24*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 4*x^6 + 2*x^4 + 8*x^3 + 24*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 4*x^6 + 2*x^4 + 8*x^3 + 24*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^5 + 2*x^4 + 8*x^3 + 24*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 8*x^5 + 2*x^4 + 8*x^3 + 24*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 4*x^6 + 8*x^5 + 2*x^4 + 8*x^3 + 24*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 4*x^6 + 8*x^5 + 2*x^4 + 8*x^3 + 24*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 10*x^4 + 8*x^3 + 24*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 10*x^4 + 8*x^3 + 24*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 4*x^6 + 10*x^4 + 8*x^3 + 24*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 4*x^6 + 10*x^4 + 8*x^3 + 24*x^2 + 16*x + 6; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^5 + 10*x^4 + 8*x^3 + 24*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 8*x^5 + 10*x^4 + 8*x^3 + 24*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 4*x^6 + 8*x^5 + 10*x^4 + 8*x^3 + 24*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 12, 4, 0 ]; R=[ <1, 19>, <2, 12>, <4, 4>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 4*x^6 + 8*x^5 + 10*x^4 + 8*x^3 + 24*x^2 + 16*x + 6; Aut=2T1; Gal=8T35
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^3 + 2; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^6 + 8*x^3 + 2; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^5 + 8*x^3 + 2; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^6 + 8*x^5 + 8*x^3 + 2; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 4*x^4 + 8*x^3 + 2; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^6 + 4*x^4 + 8*x^3 + 2; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^5 + 4*x^4 + 8*x^3 + 2; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^6 + 8*x^5 + 4*x^4 + 8*x^3 + 2; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^3 + 8*x^2 + 2; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^6 + 8*x^3 + 8*x^2 + 2; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^5 + 8*x^3 + 8*x^2 + 2; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^6 + 8*x^5 + 8*x^3 + 8*x^2 + 2; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 4*x^4 + 8*x^3 + 8*x^2 + 2; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^6 + 4*x^4 + 8*x^3 + 8*x^2 + 2; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^5 + 4*x^4 + 8*x^3 + 8*x^2 + 2; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^6 + 8*x^5 + 4*x^4 + 8*x^3 + 8*x^2 + 2; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^3 + 10; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^6 + 8*x^3 + 10; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^5 + 8*x^3 + 10; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^6 + 8*x^5 + 8*x^3 + 10; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 4*x^4 + 8*x^3 + 10; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^6 + 4*x^4 + 8*x^3 + 10; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^5 + 4*x^4 + 8*x^3 + 10; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^6 + 8*x^5 + 4*x^4 + 8*x^3 + 10; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^3 + 8*x^2 + 10; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^6 + 8*x^3 + 8*x^2 + 10; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^5 + 8*x^3 + 8*x^2 + 10; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^6 + 8*x^5 + 8*x^3 + 8*x^2 + 10; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 4*x^4 + 8*x^3 + 8*x^2 + 10; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^6 + 4*x^4 + 8*x^3 + 8*x^2 + 10; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^5 + 4*x^4 + 8*x^3 + 8*x^2 + 10; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 16, 8, 0 ]; R=[ <1, 19>, <4, 8>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 8*x^6 + 8*x^5 + 4*x^4 + 8*x^3 + 8*x^2 + 10; Aut=1T1; Gal=8T41
p=2; n=8; j=19; I=[ 19, 14, 8, 0 ]; R=[ <1, 19>, <2, 14>, <4, 8>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 4*x^6 + 8*x^3 + 2; Aut=2T1; Gal=8T29
p=2; n=8; j=19; I=[ 19, 14, 8, 0 ]; R=[ <1, 19>, <2, 14>, <4, 8>, <8, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^8 + 8*x^7 + 4*x^6 + 8*x^3 + 2; Aut=2T1; Gal=8T29
