p; n; j; ind of insep; polygon; residual poly; defining poly; automorphism; galois group; 
p=2; n=8; j=9; I=[ 9, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^7 + 4*x^5 + 2*x^2 + 4*x + 2; Aut=2T1; Gal=8T24
p=2; n=8; j=9; I=[ 9, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^3 + 2*x^2 + 4*x + 2; Aut=2T1; Gal=8T44
p=2; n=8; j=9; I=[ 9, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^7 + 4*x^3 + 2*x^2 + 4*x + 2; Aut=2T1; Gal=8T44
p=2; n=8; j=9; I=[ 9, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^5 + 4*x^3 + 2*x^2 + 4*x + 2; Aut=2T1; Gal=8T44
p=2; n=8; j=9; I=[ 9, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^7 + 4*x^5 + 4*x^3 + 2*x^2 + 4*x + 2; Aut=2T1; Gal=8T44
p=2; n=8; j=9; I=[ 9, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 2*x^2 + 4*x + 10; Aut=2T1; Gal=8T24
p=2; n=8; j=9; I=[ 9, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^7 + 2*x^2 + 4*x + 10; Aut=2T1; Gal=8T23
p=2; n=8; j=9; I=[ 9, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^5 + 2*x^2 + 4*x + 10; Aut=2T1; Gal=8T23
p=2; n=8; j=9; I=[ 9, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^7 + 4*x^5 + 2*x^2 + 4*x + 10; Aut=2T1; Gal=8T24
p=2; n=8; j=9; I=[ 9, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^3 + 2*x^2 + 4*x + 10; Aut=2T1; Gal=8T44
p=2; n=8; j=9; I=[ 9, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^7 + 4*x^3 + 2*x^2 + 4*x + 10; Aut=2T1; Gal=8T44
p=2; n=8; j=9; I=[ 9, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^5 + 4*x^3 + 2*x^2 + 4*x + 10; Aut=2T1; Gal=8T44
p=2; n=8; j=9; I=[ 9, 2, 2, 0 ]; R=[ <1, 9>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^7 + 4*x^5 + 4*x^3 + 2*x^2 + 4*x + 10; Aut=2T1; Gal=8T44
p=2; n=8; j=9; I=[ 9, 6, 6, 0 ]; R=[ <1, 9>, <2, 6>, <8, 0> ]; A=<t + 1, t^6 + 1>; f=x^8 + 2*x^6 + 4*x + 2; Aut=4T1; Gal=8T17
p=2; n=8; j=9; I=[ 9, 6, 6, 0 ]; R=[ <1, 9>, <2, 6>, <8, 0> ]; A=<t + 1, t^6 + 1>; f=x^8 + 2*x^6 + 4*x^4 + 4*x + 2; Aut=4T1; Gal=8T17
p=2; n=8; j=9; I=[ 9, 6, 6, 0 ]; R=[ <1, 9>, <2, 6>, <8, 0> ]; A=<t + 1, t^6 + 1>; f=x^8 + 2*x^6 + 4*x^3 + 4*x + 2; Aut=2T1; Gal=8T8
p=2; n=8; j=9; I=[ 9, 6, 6, 0 ]; R=[ <1, 9>, <2, 6>, <8, 0> ]; A=<t + 1, t^6 + 1>; f=x^8 + 2*x^6 + 4*x^4 + 4*x^3 + 4*x + 2; Aut=2T1; Gal=8T8
p=2; n=8; j=9; I=[ 9, 6, 6, 0 ]; R=[ <1, 9>, <2, 6>, <8, 0> ]; A=<t + 1, t^6 + 1>; f=x^8 + 2*x^6 + 4*x + 6; Aut=4T1; Gal=8T17
p=2; n=8; j=9; I=[ 9, 6, 6, 0 ]; R=[ <1, 9>, <2, 6>, <8, 0> ]; A=<t + 1, t^6 + 1>; f=x^8 + 2*x^6 + 4*x^4 + 4*x + 6; Aut=4T1; Gal=8T17
p=2; n=8; j=9; I=[ 9, 6, 6, 0 ]; R=[ <1, 9>, <2, 6>, <8, 0> ]; A=<t + 1, t^6 + 1>; f=x^8 + 2*x^6 + 4*x^3 + 4*x + 6; Aut=2T1; Gal=8T8
p=2; n=8; j=9; I=[ 9, 6, 6, 0 ]; R=[ <1, 9>, <2, 6>, <8, 0> ]; A=<t + 1, t^6 + 1>; f=x^8 + 2*x^6 + 4*x^4 + 4*x^3 + 4*x + 6; Aut=2T1; Gal=8T8
p=2; n=8; j=9; I=[ 9, 9, 4, 0 ]; R=[ <1, 9>, <4, 4>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 2*x^4 + 4*x + 2; Aut=1T1; Gal=8T41
p=2; n=8; j=9; I=[ 9, 9, 4, 0 ]; R=[ <1, 9>, <4, 4>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 2*x^4 + 4*x^2 + 4*x + 2; Aut=1T1; Gal=8T41
p=2; n=8; j=9; I=[ 9, 9, 4, 0 ]; R=[ <1, 9>, <4, 4>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 2*x^4 + 4*x + 6; Aut=1T1; Gal=8T41
p=2; n=8; j=9; I=[ 9, 9, 4, 0 ]; R=[ <1, 9>, <4, 4>, <8, 0> ]; A=<t + 1, t^4 + 1>; f=x^8 + 2*x^4 + 4*x^2 + 4*x + 6; Aut=1T1; Gal=8T41
p=2; n=8; j=10; I=[ 10, 2, 2, 0 ]; R=[ <1, 10>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 2*x^2 + 2; Aut=2T1; Gal=8T44
p=2; n=8; j=10; I=[ 10, 2, 2, 0 ]; R=[ <1, 10>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^7 + 2*x^2 + 2; Aut=2T1; Gal=8T44
p=2; n=8; j=10; I=[ 10, 2, 2, 0 ]; R=[ <1, 10>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^5 + 2*x^2 + 2; Aut=2T1; Gal=8T44
p=2; n=8; j=10; I=[ 10, 2, 2, 0 ]; R=[ <1, 10>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^7 + 4*x^5 + 2*x^2 + 2; Aut=2T1; Gal=8T44
p=2; n=8; j=10; I=[ 10, 2, 2, 0 ]; R=[ <1, 10>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^3 + 2*x^2 + 2; Aut=2T1; Gal=8T44
p=2; n=8; j=10; I=[ 10, 2, 2, 0 ]; R=[ <1, 10>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^7 + 4*x^3 + 2*x^2 + 2; Aut=2T1; Gal=8T44
p=2; n=8; j=10; I=[ 10, 2, 2, 0 ]; R=[ <1, 10>, <2, 2>, <8, 0> ]; A=<t + 1, t^2 + 1>; f=x^8 + 4*x^5 + 4*x^3 + 2*x^2 + 2; Aut=2T1; Gal=8T44
