K = Z3(a) = Z3[x] / x^2 + 2*x + 2
p=3; n=9; d=2*p^9+...; I=[ 1, 1, 0 ]; R=[ <1, 1>, <9, 0> ]; A=<t + 1>; f=x^9 + 6*x + 3; Aut=2T1; Gal=9T15
p=3; n=9; d=w^5*p^9+...; I=[ 1, 1, 0 ]; R=[ <1, 1>, <9, 0> ]; A=<t + w>; f=x^9 + 6*a*x + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^6*p^9+...; I=[ 1, 1, 0 ]; R=[ <1, 1>, <9, 0> ]; A=<t + w^2>; f=x^9 + (6*a + 6)*x + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^7*p^9+...; I=[ 1, 1, 0 ]; R=[ <1, 1>, <9, 0> ]; A=<t + w^3>; f=x^9 + (3*a + 6)*x + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=1*p^9+...; I=[ 1, 1, 0 ]; R=[ <1, 1>, <9, 0> ]; A=<t + 2>; f=x^9 + 3*x + 3; Aut=2T1; Gal=9T15
p=3; n=9; d=w*p^9+...; I=[ 1, 1, 0 ]; R=[ <1, 1>, <9, 0> ]; A=<t + w^5>; f=x^9 + 3*a*x + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^2*p^9+...; I=[ 1, 1, 0 ]; R=[ <1, 1>, <9, 0> ]; A=<t + w^6>; f=x^9 + (3*a + 3)*x + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^3*p^9+...; I=[ 1, 1, 0 ]; R=[ <1, 1>, <9, 0> ]; A=<t + w^7>; f=x^9 + (6*a + 3)*x + 3; Aut=1T1; Gal=9T15
 
